OBJECTID,taxon_kingdom_name,taxon_phylum_name,taxon_class_name,taxon_order_name,taxon_family_name,taxon_genus_name,taxon_species_name,taxon_infraspecific_name,taxon_category_name,scientific_name,common_name,taxon_rank,SHAPE,long,lat,center_x,center_y
23911411,Animalia,Chordata,Mammalia,Carnivora,Phocidae,Mirounga,angustirostris,,Mammalia,Mirounga angustirostris,Northern Elephant Seal,species,"{'x': -122.96151397199998, 'y': 38.02778500000005, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}",-122.96151397199998,38.02778500000005,-122.90530061399994,38.02782775950004
97961306,Animalia,Chordata,Aves,Charadriiformes,Laridae,Larus,occidentalis,,Aves,Larus occidentalis,Western Gull,species,"{'x': -122.91800798299994, 'y': 38.06979845800004, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}",-122.91800798299994,38.06979845800004,-122.90530061399994,38.02782775950004
106574796,Animalia,Chordata,Mammalia,Carnivora,Phocidae,Mirounga,angustirostris,,Mammalia,Mirounga angustirostris,Northern Elephant Seal,species,"{'x': -122.96151666699996, 'y': 38.02777216700008, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}",-122.96151666699996,38.02777216700008,-122.90530061399994,38.02782775950004
108937049,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Spinus,tristis,,Aves,Spinus tristis,American Goldfinch,species,"{'x': -122.87247479999996, 'y': 38.02512100000007, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}",-122.87247479999996,38.02512100000007,-122.90530061399994,38.02782775950004
96779191,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Lagurus,ovatus,,Plantae,Lagurus ovatus,Hare's Tail Grass,species,"{'x': -122.96149222199995, 'y': 38.028211389000035, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}",-122.96149222199995,38.028211389000035,-122.90530061399994,38.02782775950004
30610209,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Nyctaginaceae,Abronia,umbellata,,Plantae,Abronia umbellata,Pink Sand Verbena,species,"{'x': -122.96153833299996, 'y': 38.027411167000025, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}",-122.96153833299996,38.027411167000025,-122.90530061399994,38.02782775950004
27478847,Animalia,Chordata,Mammalia,Carnivora,Phocidae,Mirounga,angustirostris,,Mammalia,Mirounga angustirostris,Northern Elephant Seal,species,"{'x': -122.961537825, 'y': 38.027445313000044, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}",-122.961537825,38.027445313000044,-122.90530061399994,38.02782775950004
72644710,Animalia,Chordata,Aves,Gaviiformes,Gaviidae,Gavia,pacifica,,Aves,Gavia pacifica,Pacific Loon,species,"{'x': -122.96156591699997, 'y': 38.02680972200005, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}",-122.96156591699997,38.02680972200005,-122.90530061399994,38.02782775950004
54568007,Animalia,Chordata,Mammalia,Carnivora,Phocidae,Mirounga,angustirostris,,Mammalia,Mirounga angustirostris,Northern Elephant Seal,species,"{'x': -122.96153780999998, 'y': 38.027500804000056, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}",-122.96153780999998,38.027500804000056,-122.90530061399994,38.02782775950004
79584200,Animalia,Chordata,Mammalia,Carnivora,Phocidae,Mirounga,angustirostris,,Mammalia,Mirounga angustirostris,Northern Elephant Seal,species,"{'x': -122.961525, 'y': 38.02774716700003, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}",-122.961525,38.02774716700003,-122.90530061399994,38.02782775950004
15004682,Animalia,Chordata,Aves,Charadriiformes,Laridae,Larus,heermanni,,Aves,Larus heermanni,Heermann's Gull,species,"{'x': -122.96156166699996, 'y': 38.02698000000004, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}",-122.96156166699996,38.02698000000004,-122.90530061399994,38.02782775950004
54317721,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Trifolium,dubium,,Plantae,Trifolium dubium,Lesser hop trefoil,species,"{'x': -122.91807111999998, 'y': 38.06980550000003, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}",-122.91807111999998,38.06980550000003,-122.90530061399994,38.02782775950004
10421155,Animalia,Cnidaria,Hydrozoa,Anthoathecata,Porpitidae,Velella,velella,,Other,Velella velella,By-the-wind Sailor,species,"{'x': -122.96155092599997, 'y': 38.027254593000066, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}",-122.96155092599997,38.027254593000066,-122.90530061399994,38.02782775950004
39549647,Animalia,Chordata,Mammalia,Carnivora,Phocidae,Mirounga,angustirostris,,Mammalia,Mirounga angustirostris,Northern Elephant Seal,species,"{'x': -122.961525, 'y': 38.02777500000008, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}",-122.961525,38.02777500000008,-122.90530061399994,38.02782775950004
116843963,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Vanessa,annabella,,Insecta,Vanessa annabella,West Coast Lady,species,"{'x': -122.96149799999995, 'y': 38.02824300000003, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}",-122.96149799999995,38.02824300000003,-122.90530061399994,38.02782775950004
97237151,Animalia,Chordata,Mammalia,Carnivora,Phocidae,Mirounga,angustirostris,,Mammalia,Mirounga angustirostris,Northern Elephant Seal,species,"{'x': -122.96153888899994, 'y': 38.02758333300005, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}",-122.96153888899994,38.02758333300005,-122.90530061399994,38.02782775950004
142109254,Animalia,Chordata,Mammalia,Carnivora,Phocidae,Mirounga,angustirostris,,Mammalia,Mirounga angustirostris,Northern Elephant Seal,species,"{'x': -122.96153888899994, 'y': 38.02758333300005, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}",-122.96153888899994,38.02758333300005,-122.90530061399994,38.02782775950004
32876944,Animalia,Chordata,Mammalia,Carnivora,Phocidae,Mirounga,angustirostris,,Mammalia,Mirounga angustirostris,Northern Elephant Seal,species,"{'x': -122.96153888899994, 'y': 38.02758333300005, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}",-122.96153888899994,38.02758333300005,-122.90530061399994,38.02782775950004
